Year,East North Central,East South Central,Middle Atlantic,Mountain,New England,Pacific,South Atlantic,West North Central,West South Central
2008,0.754,0.746,0.784,0.768,0.7659999999999999,0.8,0.79,0.75,0.7559999999999999
2009,0.7659999999999999,0.758,0.7879999999999999,0.784,0.7759999999999999,0.807,0.782,0.753,0.745
2010,0.7659999999999999,0.75,0.792,0.784,0.792,0.7929999999999999,0.784,0.772,0.75
2011,0.772,0.752,0.8029999999999999,0.7829999999999999,0.789,0.7959999999999999,0.782,0.764,0.75
2012,0.77,0.758,0.794,0.789,0.792,0.816,0.789,0.762,0.747
2013,0.764,0.7490000000000001,0.8009999999999999,0.7809999999999999,0.7909999999999999,0.821,0.784,0.757,0.763
2014,0.774,0.748,0.809,0.79,0.79,0.8270000000000001,0.787,0.764,0.764
2015,0.7659999999999999,0.762,0.8079999999999999,0.784,0.789,0.8220000000000001,0.81,0.768,0.7559999999999999
2016,0.78,0.7559999999999999,0.8059999999999999,0.804,0.8059999999999999,0.8220000000000001,0.815,0.7879999999999999,0.772
2017,0.775,0.77,0.805,0.804,0.802,0.825,0.8140000000000001,0.782,0.778
2018,0.789,0.758,0.8140000000000001,0.81,0.8029999999999999,0.821,0.8059999999999999,0.78,0.767
